ID,Name,Category,Group,File,Source UUID
ELD-MM11-001,Inserted Image,Shared,,Shared/ELD-MM11-001_inserted_image.png,8EEB244C-98D2-456F-A2BE-577FF8114E93
ELD-MM11-002,Layer 17,Shared,,Shared/ELD-MM11-002_layer_17.png,37E0F825-FE7B-4DE3-92D8-AD74E653B4CC
ELD-MM11-003,Layer 20,Shared,,Shared/ELD-MM11-003_layer_20.png,1B546D13-79E4-4D0C-90F2-A4F33BDD7E53
ELD-MM11-004,Layer 20,Shared,,Shared/ELD-MM11-004_layer_20_02.png,FDEA58FB-D30C-4DC7-9674-1E1236348415
ELD-MM11-005,Inserted Image,Shared,New group,Shared/ELD-MM11-005_inserted_image_02.png,9C67AB77-DFF0-49A9-9A71-D49CF8FC03CE
ELD-MM11-006,Inserted Image,Shared,New group,Shared/ELD-MM11-006_inserted_image_03.png,BBB51DE3-4886-4728-9347-DB7CBBA0F940
ELD-MM11-007,Inserted Image,Shared,New group,Shared/ELD-MM11-007_inserted_image_04.png,7DDDD824-2283-4CC2-9C0D-DDF428B762CA
ELD-MM11-008,Inserted Image,Shared,New group,Shared/ELD-MM11-008_inserted_image_05.png,B8F7BC9F-70B3-4D89-85C2-084C5B566A6C
ELD-MM11-009,Layer 7,Shared,,Shared/ELD-MM11-009_layer_7.png,923769F6-A73A-44DF-BDD8-265AA24B9E53
ELD-MM11-010,Inserted Image,Shared,,Shared/ELD-MM11-010_inserted_image_06.png,A513E94D-9B84-42AB-9193-262B442600C9
ELD-MM11-011,Inserted Image,Shared,New group,Shared/ELD-MM11-011_inserted_image_07.png,2B5941E1-1246-47D2-9DEB-B160C0988BC1
ELD-MM11-012,Layer 10,Shared,New group,Shared/ELD-MM11-012_layer_10.png,70C58BBE-7319-43AA-AD80-3D7B5B18817C
ELD-MM11-013,Layer 4,Shared,New group,Shared/ELD-MM11-013_layer_4.png,F9EFC409-B420-4AE6-BA3C-34E70C179CD6
ELD-MM11-014,Inserted Image,Shared,New group,Shared/ELD-MM11-014_inserted_image_08.png,6E114349-5F59-43E3-8313-173FA23947B7
ELD-MM11-015,Inserted Image,Shared,New group,Shared/ELD-MM11-015_inserted_image_09.png,E063A536-11DF-49C2-B7B8-70AE214BB849
ELD-MM11-016,Inserted Image,Shared,New group,Shared/ELD-MM11-016_inserted_image_10.png,A424040E-2394-439B-BCF0-945ECE684F61
ELD-MM11-017,Layer 29,Shared,,Shared/ELD-MM11-017_layer_29.png,D398F5BE-20CD-43C6-B4D0-AA18FBF6E99F
