ID,Name,Category,Group,File,Source UUID
ELD-ENC-TI-001,Layer 9,Characters/Huntsman,Huntsman 1.0,Characters/Huntsman/ELD-ENC-TI-001_layer_9.png,3C3641DF-4184-4FFC-B9AD-05CF792AD987
ELD-ENC-TI-002,Layer 9,Characters/Huntsman,Huntsman 1.0,Characters/Huntsman/ELD-ENC-TI-002_layer_9_02.png,11F14A3C-3B7A-4D52-B021-7976B0DBD757
ELD-ENC-TI-003,Layer 10,Characters/Huntsman,Huntsman 1.0,Characters/Huntsman/ELD-ENC-TI-003_layer_10.png,AF519FCA-03B9-41BF-B8DE-516959C85554
ELD-ENC-TI-004,Human + Huntsman,Typography,Words,Typography/ELD-ENC-TI-004_human_huntsman.png,FDE08AD3-C029-44FA-8F2D-396677C103DD
ELD-ENC-TI-005,Karl,Typography,Words,Typography/ELD-ENC-TI-005_karl.png,35EB6129-47E8-426E-AA0A-1C1190E44399
ELD-ENC-TI-006,Lvl 2,Typography,Words,Typography/ELD-ENC-TI-006_lvl_2.png,500E9888-444E-41D8-9970-74E2432BA61F
ELD-ENC-TI-007,XP  0/500,Typography,Words,Typography/ELD-ENC-TI-007_xp_0_500.png,BE14E4D6-62E2-4CA9-806A-D7966B6D557E
ELD-ENC-TI-008,HP 20,Typography,Words,Typography/ELD-ENC-TI-008_hp_20.png,926BA064-6297-4A64-90E1-4D62CDAEA576
ELD-ENC-TI-009,Layer 29,UI/CoreTemplate,Core Template,UI/CoreTemplate/ELD-ENC-TI-009_layer_29.png,3C4DDFFE-268A-4B7A-B6C9-3FC3FFC9FBB7
ELD-ENC-TI-010,Inserted Image,UI/CoreTemplate,Core Template,UI/CoreTemplate/ELD-ENC-TI-010_inserted_image.png,8D11208C-F56B-499C-B5B7-22D4F6C6F643
ELD-ENC-TI-011,Layer 19,UI/CharacterSelection,Core Template / Character Selected,UI/CharacterSelection/ELD-ENC-TI-011_layer_19.png,ABD27112-2EB5-4F57-80D4-000FCD78103B
ELD-ENC-TI-012,Layer 17,UI/CharacterSelection,Core Template / Character Selected,UI/CharacterSelection/ELD-ENC-TI-012_layer_17.png,70178BB9-DFBC-4E7B-B98B-97DB0072649F
ELD-ENC-TI-013,Layer 17,UI/CharacterSelection,Core Template / Character Selected,UI/CharacterSelection/ELD-ENC-TI-013_layer_17_02.png,C4C9D6F0-1393-485E-A77A-EB94C858E4E4
ELD-ENC-TI-014,Layer 21,UI/CoreTemplate,Core Template,UI/CoreTemplate/ELD-ENC-TI-014_layer_21.png,F6175619-43F7-4394-8C19-63E4F1E0D032
ELD-ENC-TI-015,Layer 15,UI/CoreTemplate,Core Template,UI/CoreTemplate/ELD-ENC-TI-015_layer_15.png,C952FDD9-60A5-418F-BD95-5C986F800AC2
ELD-ENC-TI-016,Layer 13,UI/CoreTemplate,Core Template,UI/CoreTemplate/ELD-ENC-TI-016_layer_13.png,34949E92-9EFF-4F08-B7CD-09A12A20A783
ELD-ENC-TI-017,Layer 27,UI/CoreTemplate,Core Template,UI/CoreTemplate/ELD-ENC-TI-017_layer_27.png,E79D2104-B1C2-45F7-8C45-2EE34A098A9E
ELD-ENC-TI-018,Layer 3,UI/CoreTemplate,Core Template,UI/CoreTemplate/ELD-ENC-TI-018_layer_3.png,06BF04B2-E8CD-4F94-B954-431B4B99EDFE
ELD-ENC-TI-019,Inserted Image,Shared,,Shared/ELD-ENC-TI-019_inserted_image_02.png,6A615494-6F7B-4E01-B99B-5CDCB19466BE
ELD-ENC-TI-020,Inserted Image,Shared,,Shared/ELD-ENC-TI-020_inserted_image_03.png,0A974487-9BBC-4CB1-A529-9AEE1BD196F7
ELD-ENC-TI-021,Layer 41,Shared,,,594E990C-F769-4D4F-9BC8-BF8749235CBD
ELD-ENC-TI-022,Inserted Image,Shared,,Shared/ELD-ENC-TI-022_inserted_image_04.png,8D188948-E5C7-4CB2-88C8-1FF9FFC361E6
ELD-ENC-TI-023,Inserted Image,Shared,,Shared/ELD-ENC-TI-023_inserted_image_05.png,4E0F6AC3-4DFF-4993-8CCB-6D8944B00FEF
ELD-ENC-TI-024,Inserted Image,Shared,,Shared/ELD-ENC-TI-024_inserted_image_06.png,65652B53-5469-46EF-A25E-AE5250A597D9
ELD-ENC-TI-025,Inserted Image,Shared,,Shared/ELD-ENC-TI-025_inserted_image_07.png,0AF97EFE-B8FD-4342-80F8-80D2FF87E756
ELD-ENC-TI-026,Inserted Image,Shared,,Shared/ELD-ENC-TI-026_inserted_image_08.png,03D2EB07-54AB-4D4E-B83C-7CB68B0B2F2A
