ID,Name,Category,Group,File,Source UUID
ELD-ENC-TU-001,Layer 9,Characters/Huntsman,Huntsman 1.0,Characters/Huntsman/ELD-ENC-TU-001_layer_9.png,3C3641DF-4184-4FFC-B9AD-05CF792AD987
ELD-ENC-TU-002,Layer 9,Characters/Huntsman,Huntsman 1.0,Characters/Huntsman/ELD-ENC-TU-002_layer_9_02.png,11F14A3C-3B7A-4D52-B021-7976B0DBD757
ELD-ENC-TU-003,Layer 10,Characters/Huntsman,Huntsman 1.0,Characters/Huntsman/ELD-ENC-TU-003_layer_10.png,AF519FCA-03B9-41BF-B8DE-516959C85554
ELD-ENC-TU-004,Human + Huntsman,Typography,Words,Typography/ELD-ENC-TU-004_human_huntsman.png,FDE08AD3-C029-44FA-8F2D-396677C103DD
ELD-ENC-TU-005,Karl,Typography,Words,Typography/ELD-ENC-TU-005_karl.png,35EB6129-47E8-426E-AA0A-1C1190E44399
ELD-ENC-TU-006,Lvl 2,Typography,Words,Typography/ELD-ENC-TU-006_lvl_2.png,500E9888-444E-41D8-9970-74E2432BA61F
ELD-ENC-TU-007,XP  0/500,Typography,Words,Typography/ELD-ENC-TU-007_xp_0_500.png,BE14E4D6-62E2-4CA9-806A-D7966B6D557E
ELD-ENC-TU-008,HP 20,Typography,Words,Typography/ELD-ENC-TU-008_hp_20.png,926BA064-6297-4A64-90E1-4D62CDAEA576
ELD-ENC-TU-009,Layer 29,UI/CoreTemplate,Core Template,UI/CoreTemplate/ELD-ENC-TU-009_layer_29.png,3C4DDFFE-268A-4B7A-B6C9-3FC3FFC9FBB7
ELD-ENC-TU-010,Inserted Image,UI/CoreTemplate,Core Template,UI/CoreTemplate/ELD-ENC-TU-010_inserted_image.png,8D11208C-F56B-499C-B5B7-22D4F6C6F643
ELD-ENC-TU-011,Layer 19,UI/CharacterSelection,Core Template / Character Selected,UI/CharacterSelection/ELD-ENC-TU-011_layer_19.png,ABD27112-2EB5-4F57-80D4-000FCD78103B
ELD-ENC-TU-012,Layer 17,UI/CharacterSelection,Core Template / Character Selected,UI/CharacterSelection/ELD-ENC-TU-012_layer_17.png,70178BB9-DFBC-4E7B-B98B-97DB0072649F
ELD-ENC-TU-013,Layer 17,UI/CharacterSelection,Core Template / Character Selected,UI/CharacterSelection/ELD-ENC-TU-013_layer_17_02.png,C4C9D6F0-1393-485E-A77A-EB94C858E4E4
ELD-ENC-TU-014,Layer 21,UI/CoreTemplate,Core Template,UI/CoreTemplate/ELD-ENC-TU-014_layer_21.png,F6175619-43F7-4394-8C19-63E4F1E0D032
ELD-ENC-TU-015,Layer 15,UI/CoreTemplate,Core Template,UI/CoreTemplate/ELD-ENC-TU-015_layer_15.png,C952FDD9-60A5-418F-BD95-5C986F800AC2
ELD-ENC-TU-016,Layer 13,UI/CoreTemplate,Core Template,UI/CoreTemplate/ELD-ENC-TU-016_layer_13.png,34949E92-9EFF-4F08-B7CD-09A12A20A783
